Демонтаж плинтуса;м/п;70
Демонтаж ламината, паркетной доски;м2;210
Демонтаж паркета штучного;м2;230
Демонтаж паркета шитового;м2;195
Демонтаж линолеума, ковролина;м2;170
Демонтаж фанеры, ДВП;м2;210
Расчиска пола от засыпки и шумоизоляции;м2;120
Покрытия из битумной мастики*;м2;280
Демонтаж деревянных полов;м2;240
Демонтаж лаг;м2;260
Удаление слоев из керамзита, песка;м2;200
Ремонт дощатых полов;м2;310
Демонтаж стяжки до 3 см;м2;350
Демонтаж плитки;м2;185
Демонтаж кварцвиниловой, ПВХ плитки;м2;210
Грунтовка пола за 1 слой;м2;105
Грунтовка пола (бетоноконтактом);м2;150
Устройство наливных полов;м2;410
Устройство стяжки по маякам ;м2;950
Монтаж демферной ленты (кромочной ленты);м/п;175
Гидроизоляция пола пленкой ПВХ;м2;160
Гидроизоляция рулонными материалами;м2;380
"Устройство ""сухой стяжки Кнауф""";м2;910
Устройство  тепло/звукоизоляции;м2;230
Укладка деревянных лаг;м/п;190
Укладка фанеры, ДВП, ГВЛ;м2;650
Облицовка плиткой пола;м2;1200
Облицовка  керамогранитом;м2;1300
Укладка ламината;м2;900
Укладка паркетной доски (на клей);м2;2100
Настил ковролина;м2;580
Монтаж плинтусов пластиковых;м/п;180
Снятие обоев;м2;210
Очистка краски со стен;м2;210
Очистка стен от шпаклевки;м2;350
Расшивка  трещин/рустов;м/п;215
Демонтаж керамической плитки;м2;200
Отбивка плиточного клея;м2;144
Демонтаж штукатурки со стен;м2;280
Демонтаж панелей ПВХ (с каркасом);м2;180
Демонтаж стен из пеноблока;м2;387
Демонтаж стен из ацеида, гипсолита, ГКЛ;м2;500
Демонтаж бетонных стен толщиной до 12 см;м2;1950
Демонтаж фальшстены из ГКЛ, ПВХ с каркасом;м2;200
Грунтовка стен (бетоноконтактом);м2;320
Штукатурка стен по маякам до 3 см гипсовой смесью;м2;730
Штукатурка стен по маякам до 3 см цементной смесью;м2;830
Штукатурка стен (под правило);м2;700
Протяжка углов штукатуркой;м/п;510
Поклейка  стеклохолста;м2;320
Нанесение штукатурной сетки;м2;115
Грунтовка стен;м2;90
Сплошная шпаклевка в 1 слой (ремонтный слой);м2;300
Шпатлевка стен  под обои;м2;410
Финишная шпатлевка стен (под покраску);м2;280
Ошкуривание  поверхности;м2;150
Нанесение малярной сетки;м2;120
Кладка стен из пеноблоков;м2;790
Кладка перегородок из пазогребневых блоков;м2;870
Герметизация стыков, швов монтажной пеной;м/п;250
Герметизация стыков, швов силиконом;м/п;150
Выравнивание стен листами ГКЛ;м2;520
Выравнивание стен листами ГКЛ (2 слоя) с устройством каркаса;м2;900
Устройсво коробов из ГКЛ;м/п;900
Устройво ниш, ступеней из ГКЛ;м2;1139
Устройство  тепло/звукоизоляции(пеноплекс, мин вата);м2;250
Облицовка плиткой стен;м2;1200
Облицовка стен декоративным камнем;м2;1800
"Установка люка (""невидимка"")";шт;2500
Облицовка стеновыми панелями;м2;608
Облицовка стен ПВХ панелями ;м2;718
Оклейка стен обоями (виниловые / флизелиновые свыше 80см по ширине);м2;380
Оклейка стен обоями под окраску;м2;350
Окраска стен в 2 слоя;м2;410
Демонтаж потолочного плинтуса;м/п;48
Демонтаж подвесных потолков ГКЛ;м2;230
Демонтаж реечного потолка;м2;150
Демонтаж кассетного подвесного потолка (армстронг);м2;150
Демонтаж натяжного потолка (включая профиль);м2;130
Расшивка трещин рустов;м/п;230
Очистка краски ВЭ;м2;250
Очистка потолков от маслянной краски*или клея ;м2;400
Снятие обоев;м2;150
Очистка потолка от шпатлевки;м2;320
Ошкуривание  поверхности ;м2;129
Грунтовка потолков бетоноконтактом;м2;120
Штукатурка потолка (под правило);м2;500
Штукатурка потолка по маякам до 3 см;м2;1100
Заделка трещин рустов;м/п;370
